Date,Season,GameDay,HomeTeam,AwayTeam,GoalsHome,GoalsAway
2009-08-07T20:30:00,2009,1,131,16,2,0
2009-08-08T15:30:00,2009,1,7,65,1,0
2009-08-08T15:30:00,2009,1,79,9,1,2
2009-08-08T15:30:00,2009,1,134,91,2,3
2009-08-08T15:30:00,2009,1,54,55,1,0
2009-08-08T15:30:00,2009,1,81,6,2,2
2009-08-08T18:30:00,2009,1,123,40,1,1
2009-08-09T15:30:00,2009,1,129,87,3,3
2009-08-09T17:30:00,2009,1,112,100,1,1
2009-08-15T15:30:00,2009,2,40,134,1,1
2009-08-15T15:30:00,2009,2,16,112,4,2
2009-08-15T15:30:00,2009,2,100,7,4,1
2009-08-15T15:30:00,2009,2,6,123,1,0
2009-08-15T15:30:00,2009,2,55,81,1,1
2009-08-15T15:30:00,2009,2,91,79,1,1
2009-08-15T18:30:00,2009,2,65,131,1,3
2009-08-16T15:30:00,2009,2,87,54,2,1
2009-08-16T17:30:00,2009,2,9,129,3,0
2009-08-21T20:30:00,2009,3,123,9,0,0
2009-08-22T15:30:00,2009,3,7,16,1,1
2009-08-22T15:30:00,2009,3,65,91,0,0
2009-08-22T15:30:00,2009,3,112,6,0,5
2009-08-22T15:30:00,2009,3,81,40,2,1
2009-08-22T15:30:00,2009,3,79,55,0,2
2009-08-23T15:30:00,2009,3,129,54,1,0
2009-08-23T17:30:00,2009,3,131,100,2,4
2009-08-23T17:30:00,2009,3,134,87,3,0
2009-08-28T20:30:00,2009,4,87,81,2,0
2009-08-29T15:30:00,2009,4,16,79,0,0
2009-08-29T15:30:00,2009,4,9,112,0,1
2009-08-29T15:30:00,2009,4,6,129,2,1
2009-08-29T15:30:00,2009,4,55,123,0,1
2009-08-29T15:30:00,2009,4,91,7,1,1
2009-08-29T18:30:00,2009,4,40,131,3,0
2009-08-30T15:30:00,2009,4,54,134,2,3
2009-08-30T17:30:00,2009,4,100,65,3,1
2009-09-12T15:30:00,2009,5,131,6,2,3
2009-09-12T15:30:00,2009,5,7,40,1,5
2009-09-12T15:30:00,2009,5,123,129,3,0
2009-09-12T15:30:00,2009,5,112,91,0,2
2009-09-12T15:30:00,2009,5,81,54,2,1
2009-09-12T15:30:00,2009,5,79,87,1,0
2009-09-12T18:30:00,2009,5,100,16,3,1
2009-09-13T15:30:00,2009,5,134,55,0,0
2009-09-13T17:30:00,2009,5,65,9,1,2
2009-09-18T20:30:00,2009,6,9,131,1,2
2009-09-19T15:30:00,2009,6,40,79,2,1
2009-09-19T15:30:00,2009,6,16,65,0,2
2009-09-19T15:30:00,2009,6,55,7,1,1
2009-09-19T15:30:00,2009,6,129,81,2,3
2009-09-19T15:30:00,2009,6,87,123,2,4
2009-09-20T15:30:00,2009,6,91,100,1,1
2009-09-20T17:30:00,2009,6,54,112,0,4
2009-09-20T17:30:00,2009,6,6,134,0,0
2009-09-25T20:30:00,2009,7,79,129,0,1
2009-09-26T15:30:00,2009,7,131,55,4,2
2009-09-26T15:30:00,2009,7,7,9,0,1
2009-09-26T15:30:00,2009,7,134,81,3,0
2009-09-26T15:30:00,2009,7,65,6,0,1
2009-09-26T15:30:00,2009,7,91,16,0,3
2009-09-26T18:30:00,2009,7,100,40,1,0
2009-09-27T15:30:00,2009,7,112,87,3,0
2009-09-27T17:30:00,2009,7,123,54,5,1
2009-10-02T20:30:00,2009,8,9,91,2,0
2009-10-03T15:30:00,2009,8,40,65,0,0
2009-10-03T15:30:00,2009,8,6,79,4,0
2009-10-03T15:30:00,2009,8,55,112,5,2
2009-10-03T15:30:00,2009,8,129,131,1,1
2009-10-03T15:30:00,2009,8,81,123,2,1
2009-10-03T18:30:00,2009,8,87,7,0,1
2009-10-04T15:30:00,2009,8,16,134,0,2
2009-10-04T17:30:00,2009,8,54,100,1,3
2009-10-17T15:30:00,2009,9,16,9,1,2
2009-10-17T15:30:00,2009,9,134,123,2,0
2009-10-17T15:30:00,2009,9,65,81,1,0
2009-10-17T15:30:00,2009,9,91,55,2,1
2009-10-17T15:30:00,2009,9,112,40,1,2
2009-10-17T15:30:00,2009,9,79,54,3,0
2009-10-17T18:30:00,2009,9,100,6,0,0
2009-10-18T15:30:00,2009,9,131,87,2,1
2009-10-18T17:30:00,2009,9,7,129,2,0
2009-10-23T20:30:00,2009,10,6,7,1,1
2009-10-24T15:30:00,2009,10,40,91,2,1
2009-10-24T15:30:00,2009,10,123,79,3,0
2009-10-24T15:30:00,2009,10,55,16,1,0
2009-10-24T15:30:00,2009,10,87,65,0,0
2009-10-24T15:30:00,2009,10,81,112,3,0
2009-10-25T15:30:00,2009,10,54,131,0,0
2009-10-25T17:30:00,2009,10,9,100,3,3
2009-10-25T17:30:00,2009,10,129,134,1,4
2009-10-30T20:30:00,2009,11,7,54,2,0
2009-10-31T15:30:00,2009,11,131,81,3,3
2009-10-31T15:30:00,2009,11,16,40,0,0
2009-10-31T15:30:00,2009,11,100,87,2,3
2009-10-31T15:30:00,2009,11,65,55,0,1
2009-10-31T15:30:00,2009,11,79,134,2,2
2009-10-31T18:30:00,2009,11,9,6,2,2
2009-11-01T15:30:00,2009,11,112,123,0,1
2009-11-01T17:30:00,2009,11,91,129,2,1
2009-11-06T20:30:00,2009,12,6,91,4,0
2009-11-07T15:30:00,2009,12,40,9,1,1
2009-11-07T15:30:00,2009,12,123,131,1,2
2009-11-07T15:30:00,2009,12,129,112,1,2
2009-11-07T15:30:00,2009,12,87,16,0,0
2009-11-07T15:30:00,2009,12,81,79,1,0
2009-11-08T15:30:00,2009,12,55,100,2,2
2009-11-08T17:30:00,2009,12,54,65,0,1
2009-11-08T17:30:00,2009,12,134,7,1,1
2009-11-21T15:30:00,2009,13,131,79,2,3
2009-11-21T15:30:00,2009,13,16,54,1,1
2009-11-21T15:30:00,2009,13,9,55,2,0
2009-11-21T15:30:00,2009,13,65,123,0,4
2009-11-21T15:30:00,2009,13,91,87,1,2
2009-11-21T15:30:00,2009,13,112,134,0,6
2009-11-21T18:30:00,2009,13,7,81,0,0
2009-11-22T15:30:00,2009,13,40,6,1,1
2009-11-22T17:30:00,2009,13,100,129,0,1
2009-11-27T20:30:00,2009,14,129,65,0,0
2009-11-28T15:30:00,2009,14,54,91,1,3
2009-11-28T15:30:00,2009,14,123,7,1,2
2009-11-28T15:30:00,2009,14,134,131,2,2
2009-11-28T15:30:00,2009,14,81,100,1,1
2009-11-28T15:30:00,2009,14,79,112,0,1
2009-11-28T18:30:00,2009,14,87,9,1,0
2009-11-29T15:30:00,2009,14,6,16,4,0
2009-11-29T17:30:00,2009,14,55,40,0,3
2009-12-04T20:30:00,2009,15,40,87,2,1
2009-12-05T15:30:00,2009,15,131,112,2,2
2009-12-05T15:30:00,2009,15,16,129,1,1
2009-12-05T15:30:00,2009,15,100,123,0,0
2009-12-05T15:30:00,2009,15,7,79,4,0
2009-12-05T15:30:00,2009,15,55,6,0,0
2009-12-05T18:30:00,2009,15,91,81,2,0
2009-12-06T15:30:00,2009,15,65,134,0,0
2009-12-06T17:30:00,2009,15,9,54,2,0
2009-12-11T20:30:00,2009,16,54,6,2,2
2009-12-12T15:30:00,2009,16,123,91,1,1
2009-12-12T15:30:00,2009,16,129,40,1,5
2009-12-12T15:30:00,2009,16,87,55,5,3
2009-12-12T15:30:00,2009,16,112,65,0,0
2009-12-12T15:30:00,2009,16,79,100,0,4
2009-12-12T18:30:00,2009,16,134,9,0,2
2009-12-13T15:30:00,2009,16,81,16,1,1
2009-12-13T17:30:00,2009,16,131,7,1,3
2009-12-18T20:30:00,2009,17,9,81,1,0
2009-12-19T15:30:00,2009,17,40,54,5,2
2009-12-19T15:30:00,2009,17,7,112,1,0
2009-12-19T15:30:00,2009,17,6,87,3,2
2009-12-19T15:30:00,2009,17,55,129,2,3
2009-12-19T15:30:00,2009,17,91,131,2,2
2009-12-19T18:30:00,2009,17,16,123,3,1
2009-12-20T15:30:00,2009,17,100,134,2,1
2009-12-20T17:30:00,2009,17,65,79,3,0
2010-01-15T20:30:00,2009,18,40,123,2,0
2010-01-16T15:30:00,2009,18,55,54,0,3
2010-01-16T15:30:00,2009,18,91,134,1,0
2010-01-16T15:30:00,2009,18,87,129,1,2
2010-01-16T15:30:00,2009,18,100,112,2,0
2010-01-16T15:30:00,2009,18,6,81,4,2
2010-01-16T18:30:00,2009,18,16,131,3,1
2010-01-17T15:30:00,2009,18,9,79,1,0
2010-01-17T17:30:00,2009,18,65,7,2,3
2010-01-22T20:30:00,2009,19,112,16,0,1
2010-01-23T15:30:00,2009,19,134,40,2,3
2010-01-23T15:30:00,2009,19,129,9,2,2
2010-01-23T15:30:00,2009,19,81,55,1,0
2010-01-23T15:30:00,2009,19,79,91,1,1
2010-01-23T15:30:00,2009,19,54,87,0,0
2010-01-23T18:30:00,2009,19,7,100,1,0
2010-01-24T15:30:00,2009,19,131,65,2,3
2010-01-24T17:30:00,2009,19,123,6,0,3
2010-01-29T20:30:00,2009,20,100,131,1,1
2010-01-30T15:30:00,2009,20,87,134,4,3
2010-01-30T15:30:00,2009,20,91,65,1,2
2010-01-30T15:30:00,2009,20,54,129,0,0
2010-01-30T15:30:00,2009,20,40,81,3,0
2010-01-30T15:30:00,2009,20,55,79,1,3
2010-01-30T18:30:00,2009,20,9,123,2,0
2010-01-31T15:30:00,2009,20,16,7,4,1
2010-01-31T17:30:00,2009,20,6,112,3,1
2010-02-05T20:30:00,2009,21,134,54,2,1
2010-02-06T15:30:00,2009,21,131,40,1,3
2010-02-06T15:30:00,2009,21,65,100,3,3
2010-02-06T15:30:00,2009,21,112,9,0,0
2010-02-06T15:30:00,2009,21,129,6,1,1
2010-02-06T15:30:00,2009,21,123,55,2,1
2010-02-06T18:30:00,2009,21,79,16,1,2
2010-02-07T15:30:00,2009,21,81,87,1,0
2010-02-07T17:30:00,2009,21,7,91,2,3
2010-02-12T20:30:00,2009,22,87,79,2,1
2010-02-13T15:30:00,2009,22,6,131,2,1
2010-02-13T15:30:00,2009,22,16,100,1,3
2010-02-13T15:30:00,2009,22,129,123,2,1
2010-02-13T15:30:00,2009,22,55,134,1,5
2010-02-13T15:30:00,2009,22,54,81,1,1
2010-02-13T18:30:00,2009,22,40,7,3,1
2010-02-14T15:30:00,2009,22,9,65,2,0
2010-02-14T17:30:00,2009,22,91,112,2,1
2010-02-19T20:30:00,2009,23,123,87,2,2
2010-02-20T15:30:00,2009,23,79,40,1,1
2010-02-20T15:30:00,2009,23,65,16,1,5
2010-02-20T15:30:00,2009,23,7,55,4,1
2010-02-20T15:30:00,2009,23,100,91,0,0
2010-02-20T15:30:00,2009,23,81,129,0,0
2010-02-21T15:30:00,2009,23,112,54,0,3
2010-02-21T17:30:00,2009,23,131,9,2,1
2010-02-21T17:30:00,2009,23,134,6,2,2
2010-02-26T20:30:00,2009,24,9,7,2,1
2010-02-27T15:30:00,2009,24,54,123,0,2
2010-02-27T15:30:00,2009,24,81,134,1,2
2010-02-27T15:30:00,2009,24,16,91,2,1
2010-02-27T15:30:00,2009,24,87,112,1,1
2010-02-27T15:30:00,2009,24,129,79,0,0
2010-02-27T18:30:00,2009,24,6,65,0,0
2010-02-28T15:30:00,2009,24,55,131,0,1
2010-02-28T17:30:00,2009,24,40,100,1,0
2010-03-06T15:30:00,2009,25,65,40,1,1
2010-03-06T15:30:00,2009,25,134,16,2,2
2010-03-06T15:30:00,2009,25,100,54,1,0
2010-03-06T15:30:00,2009,25,91,9,1,4
2010-03-06T15:30:00,2009,25,112,55,1,2
2010-03-06T15:30:00,2009,25,131,129,4,1
2010-03-06T18:30:00,2009,25,7,87,3,0
2010-03-07T15:30:00,2009,25,79,6,3,2
2010-03-07T17:30:00,2009,25,123,81,0,1
2010-03-12T20:30:00,2009,26,9,16,2,1
2010-03-13T15:30:00,2009,26,87,131,0,4
2010-03-13T15:30:00,2009,26,129,7,1,4
2010-03-13T15:30:00,2009,26,81,65,1,0
2010-03-13T15:30:00,2009,26,55,91,2,1
2010-03-13T15:30:00,2009,26,54,79,1,2
2010-03-13T18:30:00,2009,26,40,112,2,1
2010-03-14T15:30:00,2009,26,123,134,0,1
2010-03-14T17:30:00,2009,26,6,100,4,2
2010-03-19T20:30:00,2009,27,65,87,1,1
2010-03-20T15:30:00,2009,27,91,40,2,1
2010-03-20T15:30:00,2009,27,79,123,0,0
2010-03-20T15:30:00,2009,27,16,55,2,0
2010-03-20T15:30:00,2009,27,134,129,3,2
2010-03-20T15:30:00,2009,27,112,81,1,0
2010-03-20T18:30:00,2009,27,7,6,3,0
2010-03-21T15:30:00,2009,27,100,9,2,2
2010-03-21T17:30:00,2009,27,131,54,1,5
2010-03-26T20:30:00,2009,28,129,91,1,2
2010-03-27T15:30:00,2009,28,81,131,0,2
2010-03-27T15:30:00,2009,28,40,16,1,2
